"csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"inter","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"retra","d24","non","ai75","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"emplo","d812","oui","ai75","hom","non","oui","non","n1","fai","nul","non","for","non","fai","moy","moy","nul","fai","nul","nul"
"inact","d48","non","ai45","hom","non","non","non","p3","fai","nul","non","nul","non","moy","nul","nul","nul","fai","for","nul"
"cadsu","dp12","non","ai75","hom","non","non","oui","p2","fai","for","oui","nul","non","fai","fai","nul","nul","nul","nul","fai"
"artis","d48","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","for"
"cadsu","d48","non","ai45","hom","non","oui","oui","n2","nul","nul","non","nul","non","fai","fai","nul","moy","moy","moy","nul"
"emplo","d812","non","ai35","hom","non","oui","oui","p1","nul","fai","non","nul","non","fai","nul","nul","moy","nul","moy","nul"
"ouvri","d48","non","ai55","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","moy","nul"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","fai","nul"
"ouvri","d48","non","ai45","hom","non","oui","oui","p2","nul","fai","non","fai","non","fai","moy","fai","fai","for","moy","nul"
"ouvri","d48","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"retra","d48","non","ai75","hom","non","non","non","p4","nul","fai","non","nul","non","fai","fai","nul","nul","nul","fai","for"
"inter","dp12","non","ai75","hom","non","oui","oui","p2","for","fai","oui","for","non","fai","moy","moy","nul","moy","fai","for"
"agric","dp12","non","ai45","hom","non","non","non","p1","nul","for","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai35","hom","oui","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"agric","d48","non","ai45","hom","non","oui","non","p1","nul","fai","oui","nul","non","fai","nul","nul","nul","nul","for","nul"
"inter","dp12","non","ai55","hom","non","oui","oui","p4","nul","nul","non","for","non","fai","fai","fai","nul","fai","moy","nul"
"cadsu","d48","non","ai45","hom","non","oui","non","p1","nul","nul","non","for","non","fai","for","nul","moy","for","for","nul"
"ouvri","d812","non","ai35","hom","non","oui","oui","p1","nul","fai","non","nul","non","fai","fai","nul","moy","fai","moy","nul"
"ouvri","d48","non","ai45","hom","non","oui","non","p2","nul","nul","non","nul","non","fai","moy","nul","nul","fai","nul","nul"
"ouvri","d812","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"agric","dp12","non","ai45","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","for","nul","nul","nul","fai","nul"
"agric","d48","non","ai55","hom","non","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"emplo","dp12","non","ai75","hom","non","non","oui","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai55","hom","non","oui","non","p1","nul","nul","non","fai","non","fai","for","nul","fai","moy","nul","nul"
"emplo","dp12","non","ai45","hom","non","non","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"cadsu","dp12","non","ai45","hom","non","oui","non","p3","for","nul","oui","nul","non","for","for","nul","nul","nul","moy","nul"
"artis","d48","non","ai55","hom","non","non","non","p4","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai75","hom","non","oui","non","p2","nul","nul","non","nul","non","moy","for","nul","fai","fai","fai","nul"
"cadsu","d48","non","ai55","hom","non","non","non","p3","for","fai","non","nul","non","fai","moy","nul","moy","nul","fai","nul"
"artis","d812","oui","ai75","hom","non","non","non","p4","nul","for","non","nul","non","moy","for","nul","nul","nul","for","for"
"emplo","dp12","non","ai35","hom","non","oui","non","p3","fai","fai","oui","nul","non","fai","fai","nul","nul","fai","moy","moy"
"emplo","d48","non","ai55","hom","non","non","non","p2","fai","nul","non","for","non","for","fai","nul","nul","nul","for","nul"
"inter","d48","oui","ai55","hom","non","oui","non","p3","nul","fai","oui","for","non","fai","fai","fai","fai","fai","for","nul"
"emplo","d48","non","ai55","hom","non","oui","non","p3","fai","nul","oui","for","non","fai","nul","nul","moy","fai","for","nul"
"inter","d812","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"ouvri","dp12","non","ai45","hom","non","non","oui","p1","nul","nul","oui","nul","non","fai","for","nul","nul","moy","moy","nul"
"cadsu","d48","non","ai35","hom","non","oui","oui","p2","nul","nul","non","fai","non","fai","nul","nul","fai","fai","for","nul"
"etudi","d24","non","ai25","hom","non","oui","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","nul","nul"
"ouvri","d812","non","ai35","hom","non","non","oui","n1","nul","nul","non","fai","non","fai","for","fai","fai","fai","fai","nul"
"etudi","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","fai","fai","nul","nul"
"emplo","dp12","oui","ai45","hom","non","oui","non","p2","for","nul","non","for","non","fai","fai","nul","nul","nul","moy","nul"
"cadsu","dm2","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","fai"
"ouvri","dm2","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","moy","nul","fai","fai","for","nul"
"emplo","dm2","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","fai","non","moy","moy","nul","fai","fai","fai","nul"
"ouvri","d48","oui","ai35","hom","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","moy","nul","moy","nul"
"agric","d24","non","ai35","hom","non","non","oui","n2","nul","fai","non","for","oui","fai","fai","nul","nul","nul","nul","nul"
"artis","dm2","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"ouvri","d812","non","ai35","hom","oui","non","non","n1","nul","nul","non","fai","non","moy","nul","fai","fai","moy","for","nul"
"cadsu","dm2","non","ai35","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"artis","d24","non","ai35","hom","non","oui","non","p1","fai","nul","non","fai","oui","fai","nul","nul","nul","nul","fai","nul"
"inter","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","fai","nul"
"ouvri","dp12","non","ai35","hom","non","oui","oui","p1","nul","nul","oui","nul","non","fai","fai","nul","nul","fai","moy","nul"
"retra","d24","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p4","for","nul","oui","nul","non","fai","for","moy","nul","moy","nul","moy"
"emplo","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"agric","d24","non","ai45","hom","non","non","non","n2","nul","nul","non","for","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d48","non","ai35","hom","non","oui","non","n2","nul","fai","non","nul","non","fai","moy","nul","fai","fai","fai","nul"
"artis","d48","non","ai45","hom","non","non","non","n2","nul","nul","non","nul","non","for","for","nul","nul","fai","nul","nul"
"emplo","d48","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai45","hom","non","oui","non","p4","for","fai","non","nul","non","fai","moy","nul","nul","fai","nul","nul"
"emplo","dp12","non","ai45","hom","non","oui","oui","n1","nul","nul","non","nul","oui","fai","nul","nul","nul","fai","fai","nul"
"emplo","d24","non","ai35","hom","non","oui","non","p1","nul","nul","oui","fai","non","fai","nul","nul","fai","fai","fai","nul"
"etudi","dm2","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dm2","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d48","non","ai55","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dp12","non","ai45","hom","non","non","non","p3","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"emplo","d812","non","ai45","hom","non","non","non","p2","for","fai","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"agric","d48","non","ai45","hom","non","oui","non","n2","for","fai","oui","for","non","fai","nul","moy","nul","nul","for","nul"
"etudi","dm2","non","ai25","hom","non","oui","non","p2","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","fai","fai"
"inter","d48","non","ai55","hom","non","oui","oui","p3","nul","fai","oui","nul","non","moy","fai","moy","nul","fai","for","nul"
"etudi","dm2","non","ai35","hom","non","oui","non","p2","fai","nul","non","nul","non","fai","fai","nul","nul","fai","nul","fai"
"ouvri","d812","non","ai55","hom","non","non","non","p1","nul","fai","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"retra","dp12","non","ai75","hom","non","non","non","p1","nul","for","non","nul","non","fai","fai","nul","nul","nul","nul","moy"
"emplo","d24","non","ai55","hom","oui","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","fai","nul","nul"
"inter","dp12","oui","ai55","hom","non","non","non","p4","nul","for","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"inact","d48","non","ai25","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","d48","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dp12","non","ai55","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"agric","dm2","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"ouvri","dp12","oui","ai45","hom","non","non","oui","n1","nul","nul","non","nul","non","moy","fai","nul","moy","fai","moy","nul"
"artis","d48","non","ai55","hom","non","non","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dm2","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d48","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","nul","nul"
"inter","d24","non","ai45","hom","non","oui","non","n2","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"retra","d48","non","ai75","hom","non","non","non","p2","for","fai","oui","nul","non","moy","nul","nul","nul","fai","moy","moy"
"ouvri","d24","non","ai75","hom","oui","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"etudi","dm2","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","fai","nul"
"ouvri","dm2","non","ai35","hom","non","non","non","p1","nul","fai","non","nul","non","for","nul","fai","nul","moy","moy","nul"
"inter","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"etudi","d24","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"cadsu","d24","non","ai55","hom","non","non","non","n2","nul","nul","non","fai","oui","fai","for","nul","nul","for","for","nul"
"emplo","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"ouvri","d48","oui","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","fai","nul"
"ouvri","d812","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","moy","fai","for","nul"
"retra","d24","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"inter","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","oui","ai45","hom","non","non","non","p1","nul","for","non","for","non","fai","for","nul","nul","fai","nul","fai"
"ouvri","dm2","non","ai25","hom","oui","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","moy","fai","fai","nul"
"ouvri","dp12","non","ai55","hom","non","non","oui","p2","nul","nul","non","nul","non","moy","for","nul","nul","nul","for","nul"
"ouvri","dp12","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","fai","nul","nul","fai","fai","nul"
"ouvri","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","fai","nul","moy","nul","fai","nul"
"cadsu","dm2","non","ai45","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","moy","nul","nul","nul","nul","nul"
"emplo","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d24","non","ai45","hom","non","oui","non","p3","nul","fai","oui","nul","non","fai","fai","nul","moy","nul","for","fai"
"ouvri","dm2","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d24","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai55","hom","oui","non","non","n1","nul","nul","non","fai","non","for","nul","nul","nul","fai","nul","nul"
"retra","d48","non","ai75","hom","non","oui","oui","n1","nul","fai","non","nul","non","fai","fai","nul","nul","moy","moy","nul"
"cadsu","d24","non","ai55","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","moy"
"cadsu","d24","non","ai55","hom","non","non","non","p1","fai","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"cadsu","dm2","non","ai55","hom","non","oui","non","p4","nul","nul","non","for","non","fai","for","nul","nul","fai","nul","moy"
"cadsu","d24","non","ai75","hom","non","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"emplo","d812","non","ai45","fem","non","non","non","n1","nul","fai","non","for","non","fai","nul","nul","nul","fai","nul","nul"
"cadsu","dm2","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"cadsu","d24","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","moy"
"cadsu","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"inact","dm2","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d812","non","ai75","hom","non","non","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dp12","non","ai75","hom","non","oui","oui","p4","nul","fai","non","nul","non","fai","nul","moy","nul","moy","for","moy"
"inter","dm2","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"etudi","dm2","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"etudi","dm2","oui","ai25","hom","non","non","non","p3","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"etudi","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dp12","non","ai75","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","for","nul","nul","nul","nul","for"
"ouvri","dp12","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dp12","oui","ai45","hom","non","oui","oui","n2","nul","nul","oui","fai","non","fai","for","moy","moy","fai","nul","fai"
"ouvri","d812","non","ai55","hom","non","non","non","p2","nul","fai","non","nul","oui","fai","nul","nul","moy","nul","fai","nul"
"ouvri","d812","non","ai35","hom","non","oui","oui","p1","nul","nul","non","nul","oui","fai","fai","nul","moy","fai","nul","nul"
"inact","d812","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"agric","dp12","non","ai75","hom","non","non","non","n1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai55","hom","non","non","non","p1","fai","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"artis","dp12","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai75","hom","non","non","oui","p4","nul","fai","non","nul","oui","fai","for","nul","nul","nul","for","nul"
"artis","d812","non","ai55","hom","non","oui","oui","p2","nul","nul","oui","nul","non","fai","for","moy","nul","fai","nul","fai"
"cadsu","dp12","non","ai75","hom","non","non","non","p4","nul","nul","oui","nul","non","fai","nul","moy","nul","nul","moy","moy"
"ouvri","dp12","non","ai55","hom","non","non","non","p4","for","for","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"retra","d812","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"retra","dp12","non","ai75","hom","non","non","non","p1","fai","fai","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"etudi","d48","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dp12","non","ai75","hom","non","oui","oui","p4","for","for","non","nul","non","fai","fai","nul","nul","fai","nul","moy"
"artis","dp12","non","ai45","hom","non","oui","oui","n2","nul","nul","oui","fai","non","fai","nul","nul","moy","nul","nul","nul"
"ouvri","dp12","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"retra","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"etudi","d24","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","d812","non","ai35","hom","non","non","non","p2","nul","nul","non","for","non","fai","moy","nul","nul","nul","fai","nul"
"ouvri","dp12","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","nul","nul"
"etudi","d48","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d812","non","ai35","hom","non","non","non","p1","nul","nul","non","fai","non","fai","nul","fai","moy","fai","nul","nul"
"artis","d812","non","ai75","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","for","fai"
"ouvri","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"agric","dm2","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"agric","dp12","non","ai55","hom","non","non","oui","p2","for","fai","non","fai","non","fai","fai","fai","nul","fai","fai","nul"
"inter","dp12","non","ai55","hom","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","moy","nul","nul"
"ouvri","d812","non","ai35","hom","non","non","non","p2","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"etudi","d812","non","ai35","hom","non","oui","non","p3","fai","nul","non","nul","non","fai","moy","nul","nul","nul","for","fai"
"inter","d812","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dp12","oui","ai55","hom","non","non","non","p2","nul","fai","non","nul","non","moy","fai","nul","nul","nul","fai","nul"
"agric","d812","oui","ai55","hom","non","oui","non","p4","nul","nul","non","nul","non","fai","for","nul","moy","fai","nul","nul"
"inter","dp12","non","ai55","hom","non","non","oui","p4","nul","fai","non","nul","non","fai","nul","nul","nul","fai","nul","for"
"artis","dm2","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai45","hom","non","oui","oui","p3","for","fai","oui","nul","non","fai","for","nul","nul","nul","for","for"
"cadsu","dp12","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"ouvri","dp12","non","ai45","hom","non","non","oui","p1","nul","nul","non","for","non","moy","fai","fai","nul","moy","moy","nul"
"artis","d812","non","ai45","hom","non","non","non","p4","nul","nul","oui","nul","non","for","for","nul","nul","moy","for","for"
"retra","dp12","non","ai75","hom","non","non","non","n1","fai","for","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"cadsu","dp12","oui","ai45","hom","non","oui","non","p4","for","fai","non","nul","non","fai","for","nul","nul","nul","nul","for"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dp12","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"emplo","dp12","non","ai55","hom","non","oui","oui","p4","nul","nul","non","nul","non","moy","nul","nul","nul","fai","fai","nul"
"ouvri","d812","oui","ai45","fem","non","oui","oui","n1","nul","fai","non","for","non","fai","fai","nul","nul","fai","fai","nul"
"emplo","dp12","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai45","hom","non","non","oui","p2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"retra","dp12","non","ai75","hom","non","oui","oui","p2","nul","nul","non","fai","non","fai","nul","fai","nul","fai","fai","nul"
"retra","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"cadsu","d24","non","ai25","hom","non","oui","non","n2","nul","nul","non","for","non","fai","moy","nul","moy","fai","nul","nul"
"artis","d812","non","ai75","hom","non","non","non","p1","for","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d812","non","ai45","hom","non","oui","oui","p2","nul","nul","non","fai","non","fai","moy","nul","nul","fai","fai","nul"
"inter","d24","non","ai55","hom","non","non","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","moy","moy","nul"
"retra","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"inter","d812","non","ai55","hom","non","non","oui","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d812","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","fai","nul","nul","nul"
"ouvri","dp12","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"retra","d812","non","ai75","hom","non","non","oui","p4","nul","fai","non","nul","non","moy","moy","nul","nul","fai","for","moy"
"ouvri","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","nul","moy","nul"
"cadsu","dp12","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d812","non","ai45","hom","oui","oui","non","n2","nul","nul","non","fai","oui","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dp12","non","ai35","hom","non","oui","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","fai"
"ouvri","dp12","non","ai45","hom","non","non","non","p4","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"inter","d812","non","ai75","hom","non","non","non","p1","nul","nul","non","for","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dp12","non","ai55","hom","non","non","oui","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"artis","d812","non","ai75","hom","non","non","oui","p1","fai","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"agric","dp12","non","ai75","hom","non","non","oui","p4","for","nul","non","nul","oui","fai","moy","nul","nul","nul","nul","nul"
"agric","dp12","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"ouvri","d812","non","ai35","hom","non","non","non","n2","nul","nul","non","nul","non","fai","nul","fai","moy","fai","nul","nul"
"agric","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"inter","dp12","non","ai55","hom","non","non","oui","p3","nul","for","non","fai","oui","fai","for","fai","nul","fai","fai","nul"
"inact","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dp12","non","ai55","hom","non","non","non","p2","for","nul","oui","nul","oui","moy","fai","moy","moy","for","for","fai"
"ouvri","dp12","non","ai45","hom","non","oui","non","p2","nul","nul","non","nul","oui","fai","for","nul","nul","nul","fai","nul"
"retra","d812","non","ai75","hom","non","non","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","nul","fai","for"
"emplo","dp12","non","ai75","hom","non","oui","oui","p3","nul","nul","non","nul","non","moy","fai","moy","nul","fai","for","fai"
"emplo","d812","non","ai55","hom","non","oui","oui","p3","nul","nul","oui","for","non","fai","fai","nul","nul","fai","moy","nul"
"agric","d812","non","ai45","hom","non","non","oui","n1","nul","nul","non","fai","non","fai","fai","fai","nul","nul","nul","nul"
"ouvri","d812","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"emplo","dp12","non","ai55","hom","non","oui","non","p2","nul","fai","non","for","non","fai","fai","nul","nul","fai","for","nul"
"agric","dp12","oui","ai45","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"artis","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","moy","fai","moy","nul","nul","for","nul"
"inter","dp12","non","ai45","fem","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","moy","for","nul"
"emplo","dp12","non","ai45","hom","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"retra","dp12","non","ai75","hom","non","non","non","p3","nul","nul","non","nul","non","for","nul","nul","nul","for","for","moy"
"cadsu","dp12","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
